Measurement,English,Swedish,Spanish,Korean
Overall Score,4.15$\pm$0.3,2.17$\pm$0.78,2.87$\pm$0.53,2.37$\pm$0.85
Naturalness Score,4.4$\pm$0.49,2.4$\pm$1.02,3.2$\pm$0.87,2.8$\pm$1.08
Correctness Score,3.6$\pm$0.66,1.7$\pm$0.78,2.3$\pm$0.78,1.4$\pm$0.92
Improvement Ratio,0.0,0.2,0.4,0.0
