Measurement,English,Swedish,Spanish,Korean
Overall Score,3.32$\pm$0.64,2.43$\pm$0.45,2.93$\pm$0.77,2.15$\pm$0.42
Naturalness Score,3.7$\pm$0.78,2.8$\pm$0.6,3.4$\pm$1.02,2.4$\pm$0.8
Correctness Score,2.6$\pm$1.02,1.7$\pm$0.78,2.1$\pm$0.7,1.6$\pm$0.66
Improvement Ratio,0.4,0.2,0.2,0.4
