word,pos,frequency
slå,verb,312.71
möjlig,adjective,310.72
många,pronoun,310.01
ämna,verb,307.66
hända,verb,307.66
endast,adverb,302.17
miljon,noun,301.59
vidare,adverb,297.7
ganska,adverb,295.35
svar,noun,291.65
varenda,det,291.39
istället,adverb,291.38
först,adverb,290.35
arbeta,verb,289.93
heller,adverb,288.81
riktigt,adverb,288.62
hand,noun,288.6
uppgift,noun,287.98
fungera,verb,287.4
beta,verb,286.58
köpa,verb,284.11
nästan,adverb,284.0
bra,adverb,283.65
bland,prep,282.47
december,noun,280.83
sitta,verb,280.32
precis,adverb,277.18
hennes,pronoun,275.94
åta sig,verb,275.39
bland annat,adverb,275.2
krig,noun,275.09
till exempel,adverb,274.97
tillsammans,adverb,274.88
henne,pronoun,272.82
intressant,adjective,272.16
val,noun,269.93
kyrka,noun,268.45
egentligen,adverb,267.44
inför,prep,267.33
historia,noun,267.25
jobb,noun,266.97
berätta,verb,266.34
vanlig,adjective,265.84
rätta,verb,265.36
januari,noun,264.41
information,noun,264.14
flest,adjective,262.77
ung,adjective,260.53
en,pronoun,260.31
tillbaka,particle,259.58
film,noun,258.67
ibland,adverb,258.58
medan,subj,257.43
slut,noun,256.6
massa,noun,255.87
tanke,noun,251.61
akt,noun,251.45
procent,noun,251.21
månad,noun,251.14
sista,adjective,250.04
ätt,noun,249.91
sluta,verb,249.47
verksamhet,noun,249.2
rätt,noun,249.15
samtidigt,adverb,247.54
emot,prep,247.28
stöd,noun,244.26
familj,noun,244.19
vem,pronoun,243.27
åka,verb,243.14
betala,verb,242.04
kommun,noun,242.01
resultat,noun,241.96
utveckla,verb,241.91
föra,verb,240.44
hjälpa,verb,238.92
nästa,adjective,237.94
nära,adverb,237.62
nej,interj,237.61
text,noun,234.6
exempel,noun,232.43
särskilt,adverb,232.35
debatt,noun,232.07
när det gäller,prep,230.03
på grund av,adverb,229.03
situation,noun,229.02
europeisk,adjective,228.56
form,noun,228.11
orm,noun,228.11
råd,noun,228.07
november,noun,228.05
makt,noun,228.02
social,adjective,226.91
vinna,verb,226.63
kvar,particle,226.35
system,noun,225.72
vänta,verb,225.55
tidig,adjective,225.46
åtgärd,noun,223.86
krav,noun,223.66
skillnad,noun,223.65
riksdag,noun,223.14
internationell,adjective,222.66
nationell,adjective,222.66
jobba,verb,221.99
klara,verb,218.16
typ,noun,217.75
kring,prep,217.05
båda,pronoun,217.0
cirka,adverb,216.97
tur,noun,216.52
polis,noun,216.42
medium,noun,215.79
låg,adjective,214.24
varandra,pronoun,214.16
mun,noun,213.93
ansvar,noun,213.48
roll,noun,213.39
regel,noun,211.92
oktober,noun,211.56
prata,verb,211.06
organisation,noun,210.61
medlem,noun,210.54
fråga,verb,210.47
anmäla,verb,209.8
nå,verb,209.69
bo,verb,209.48
krona,noun,207.79
stämma,verb,207.42
rättighet,noun,207.42
sedan,prep,207.3
bakom,prep,206.72
efter att,subj,206.69
med,adverb,206.58
därmed,adverb,206.58
hus,noun,206.57
vän,noun,205.79
dela,verb,205.43
februari,noun,205.04
kort,adjective,204.59
grund,noun,204.34
runt,prep,203.5
framtid,noun,203.16
köra,verb,203.16
etikett,noun,202.31
fri,adjective,201.84
behov,noun,201.71
timme,noun,201.49
september,noun,201.31
hoppas,verb,200.99
ensam,adjective,200.63
snart,adverb,199.9
rätt,adverb,198.64
förklara,verb,198.04
ledning,noun,197.93
intresse,noun,197.41
tvinga,verb,196.99
påverka,verb,196.4
anledning,noun,195.88
titta,verb,195.79
minska,verb,195.42
i alla fall,adverb,195.28
däremot,adverb,194.9
direkt,adverb,194.63
ekonomi,noun,194.28
bestämma,verb,192.88
skicka,verb,192.84
trots,prep,192.43
åsikt,noun,192.3
diskussion,noun,192.14
rad,noun,192.14
faktum,noun,192.11
tidning,noun,191.91
mening,noun,191.16
utanför,prep,190.63
rätt,adjective,190.49
gemensam,adjective,189.45
klar,adjective,187.9
juni,noun,186.95
is,noun,186.84
bil,noun,186.44
myndighet,noun,186.22
nummer,noun,186.0
allmän,adjective,185.28
musik,noun,185.07
ändra,verb,184.81
träffa,verb,184.74
ihop,particle,183.73
diskutera,verb,183.54
driva,verb,183.3
sälja,verb,182.71
sakna,verb,182.57
program,noun,182.39
ifrån,prep,181.44
länka,verb,179.35
kunskap,noun,179.19
snabbt,adverb,178.68
maj,noun,177.76
amerikansk,adjective,177.66
tyda,verb,177.46
särskild,adjective,177.43
början,noun,176.59
naturligtvis,adverb,176.31
skäl,noun,175.99
fin,adjective,174.99
genomföra,verb,174.86
liksom,adverb,174.75
via,prep,174.12
före,prep,173.85
dom,noun,173.6
risk,noun,173.27
enkel,adjective,173.1
alls,adverb,173.06
pris,noun,172.92
räkna,verb,172.91
beskriva,verb,172.36
möta,verb,172.02
såsom,subj,171.86
idé,noun,171.57
gram,noun,171.53
förra,adjective,170.92
tjänst,noun,170.63
heta,verb,170.22
kultur,noun,170.1
äta,verb,169.74
syfte,noun,168.82
princip,noun,167.86
flytta,verb,167.68
utgöra,verb,167.61
ute,adverb,167.61
politiker,noun,167.43
lätt,adjective,167.41
förälder,noun,167.0
marknad,noun,166.13
nämligen,adverb,165.98
tydlig,adjective,165.93
utbildning,noun,165.87
röra,verb,165.68
nivå,noun,165.64
april,noun,165.36
mängd,noun,165.27
betydelse,noun,165.2
kristen,adjective,164.51
dö,verb,164.3
mars,noun,164.22
allt,adverb,163.95
