word,pos,frequency
preguntar,VERB,413.86375888657136
razón,NOUN,406.9771682205517
señor,NOUN,401.1947566486619
terminar,VERB,396.138778691331
fuera,ADV,394.45345270555407
cuenta,NOUN,388.46763972158766
oír,VERB,386.78231373581065
contar,VERB,386.49174028998704
grande,ADJ,384.4286688246394
hacia,ADP,382.2784253255447
malo,ADJ,381.75539312306216
contra,ADP,378.9368306985732
arma,NOUN,378.9077733539908
hoy,ADV,378.0651103611023
hermano,NOUN,377.6001928477845
preocupar,VERB,377.1352753344667
durante,ADP,376.4960137536548
policía,NOUN,375.7986374836781
lado,NOUN,371.9630679988065
puerta,NOUN,367.8950397572759
jugar,VERB,367.66258100061697
recordar,VERB,359.06160700423806
historia,NOUN,358.42234542342607
vas,NOUN,355.8652991001783
punto,NOUN,355.54566830977234
cabeza,NOUN,351.9425575815595
casi,ADV,351.1870666224181
sacar,VERB,350.9546078657593
ganar,VERB,350.7802637982651
junto,ADJ,350.22817425120024
manera,NOUN,349.0658804679058
mierda,NOUN,346.3344900771638
hecho,ADJ,340.232447714868
clase,NOUN,338.02408952660846
mismo,ADJ,330.9631547930947
escuchar,VERB,330.55635196894167
realidad,NOUN,326.16869293700506
poco,PRON,325.2098005657872
enviar,VERB,324.5124242958105
mientras,SCONJ,323.81504802583385
importante,ADJ,322.7689836208688
equipo,NOUN,322.4202954858805
quier,NOUN,322.216894073804
maldito,ADJ,321.28705904716844
dentro,ADV,318.23603786602047
muerto,ADJ,317.36431752854963
camino,NOUN,315.9405076440139
encantar,VERB,313.7612068003369
fin,NOUN,312.8313717737013
auto,NOUN,310.01280934921226
mes,NOUN,308.32748336343525
comer,VERB,306.72932941140544
comprar,VERB,306.46781331016416
palabra,NOUN,306.1772398643405
mal,ADV,305.6832650064404
par,NOUN,303.5039641627633
bajo,ADP,302.3126130348865
sí,ADV,296.93700428714965
bastante,ADV,295.91999722676707
n,NOUN,293.6535243493429
ocurrir,VERB,292.9561480793662
ojo,NOUN,291.2998794381716
caer,VERB,290.689675201942
esposa,NOUN,286.47636023749965
saber,AUX,283.8321418805048
tarde,ADV,283.6577978130106
decir él,VERB,282.7570201309574
siquiera,NOUN,281.5656690030806
propio,DET,281.0426368005981
cierto,ADJ,279.9965723956331
e,CCONJ,278.48559047735023
amor,NOUN,277.67198482904416
señor,INTJ,277.61387013987945
cerca,ADV,277.46858341696765
suerte,NOUN,277.43952607238526
dijistir,VERB,277.09083793739694
listo,ADJ,275.8123147757731
número,NOUN,274.7081356816433
suficiente,ADJ,273.1971537633605
hija,NOUN,272.9646950067017
tocar,VERB,272.1801467029779
ciudad,NOUN,271.77334387882485
cuál,PRON,271.65711450049537
pregunta,NOUN,271.1921969871776
diablo,NOUN,271.13408229801286
mantener,VERB,270.0589605484655
cara,NOUN,267.6472009481295
papá,NOUN,267.2113407793941
suceder,VERB,265.0029825911347
todavía,ADV,262.06819078831614
quizá,ADV,261.92290406540434
cuerpo,NOUN,261.77761734249253
plan,NOUN,259.42397243132126
prueba,NOUN,258.92999757342113
vuelta,NOUN,258.6684814721799
segundo,ADJ,257.7967611347091
serio,ADJ,257.3027862768089
abrir,VERB,256.83786876349114
oportunidad,NOUN,255.82086170310853
amar,VERB,254.94914136563764
recibir,VERB,254.1936504064963
mañana,ADV,252.88606990029
