ID,lemma,pos,frequency
1050,devolver,VERB,2528
1051,respeto,NOUN,2527
1052,vuelo,NOUN,2517
1053,enterar,VERB,2517
1054,aun,ADV,2516
1055,saltar,VERB,2509
1056,firmar,VERB,2508
1057,estudiar,VERB,2507
1058,sorprender,VERB,2505
1059,matrimonio,NOUN,2502
1060,sã,VERB,2502
1061,detalle,NOUN,2497
1062,interesante,ADJ,2495
1063,consejo,NOUN,2495
1064,papá,PROPN,2487
1065,vaya,VERB,2481
1066,prisión,NOUN,2480
1067,sã³lo,ADJ,2468
1068,movimiento,NOUN,2450
1069,contratar,VERB,2448
1070,vetir,VERB,2444
1071,8,NUM,2440
1072,hacerte,NOUN,2440
1073,regreso,NOUN,2439
1074,efecto,NOUN,2438
1075,aquel,PRON,2437
1076,hayas,VERB,2435
1077,sugerir,VERB,2431
1078,dej,NOUN,2430
1079,reconocer,VERB,2424
1080,dã,PROPN,2422
1081,salida,NOUN,2421
1082,estación,NOUN,2417
1083,noches,PROPN,2416
1084,ordenar,VERB,2411
1085,asiento,NOUN,2408
1086,pareja,NOUN,2405
1087,conmigo,ADP,2402
1088,acceso,NOUN,2400
1089,lanzar,VERB,2399
1090,guardia,NOUN,2398
1091,pared,NOUN,2395
1092,anteriormente,ADV,2393
1093,juicio,NOUN,2392
1094,camión,NOUN,2390
1095,médico,ADJ,2388
1096,40,NUM,2387
1097,rojo,ADJ,2385
1098,radio,NOUN,2383
1099,mierdo,ADJ,2381
1100,tierra,PROPN,2376
1101,and,PROPN,2376
1102,zapato,NOUN,2375
1103,disfrutar,VERB,2374
1104,haz,ADJ,2370
1105,estã¡n,VERB,2369
1106,muerto,NOUN,2369
1107,24,NUM,2367
1108,quedar él,VERB,2359
1109,visita,NOUN,2356
1110,vaya,PROPN,2356
1111,toque,NOUN,2349
1112,mentira,NOUN,2343
1113,código,NOUN,2343
1114,tenía,NOUN,2340
1115,gobierno,NOUN,2335
1116,diga,NOUN,2332
1117,triste,ADJ,2329
1118,partido,NOUN,2326
1119,cubrir,VERB,2318
1120,ejemplo,NOUN,2317
1121,decir tú,VERB,2314
1122,ben,PROPN,2311
1123,corte,NOUN,2311
1124,oler,VERB,2310
1125,bienvenido,ADJ,2305
1126,estabas,AUX,2304
1127,anillo,NOUN,2302
1128,negar,VERB,2302
1129,enfermedad,NOUN,2300
1130,espalda,NOUN,2296
1131,oro,NOUN,2295
1132,harry,PROPN,2295
1133,quemar,VERB,2294
1134,escucha,PROPN,2292
1135,mamá,PROPN,2291
1136,piel,NOUN,2289
1137,excepto,ADP,2288
1138,conversación,NOUN,2288
1139,esperanza,NOUN,2285
1140,laboratorio,NOUN,2282
1141,suficientemente,ADV,2282
1142,saber él,VERB,2279
1143,archivo,NOUN,2278
1144,juez,NOUN,2277
1145,sã­.,VERB,2276
1146,rato,NOUN,2274
1147,fuente,NOUN,2268
1148,formar,VERB,2264
1149,ay,INTJ,2260
1150,cantidad,NOUN,2257
1151,listo,NOUN,2256
1152,rayo,NOUN,2252
1153,ver yo,VERB,2252
1154,sol,NOUN,2252
1155,proyecto,NOUN,2247
1156,nueve,NUM,2247
1157,â¿quã,ADJ,2244
1158,falso,ADJ,2244
1159,recuerdo,NOUN,2236
1160,apartamento,NOUN,2235
1161,limpio,ADJ,2235
1162,salvo,NOUN,2234
1163,navidad,PROPN,2229
1164,incluir,VERB,2222
1165,25,NUM,2222
1166,enorme,ADJ,2221
1167,marca,NOUN,2220
1168,agradable,ADJ,2217
1169,paul,PROPN,2215
1170,quería,NOUN,2210
1171,7,NUM,2209
1172,conocido,ADJ,2205
1173,encontrar él,VERB,2203
1174,estado,PROPN,2203
1175,estilo,NOUN,2200
1176,departamento,NOUN,2197
1177,ser,NOUN,2197
1178,\n,ADV,2197
1179,asustar,VERB,2196
1180,visitar,VERB,2190
1181,sobrevivir,VERB,2188
1182,haz,VERB,2187
1183,baile,NOUN,2187
1184,restaurante,NOUN,2182
1185,dama,NOUN,2181
1186,¦,PROPN,2178
1187,ok,PROPN,2177
1188,doble,ADJ,2176
1189,aã±os,NUM,2176
1190,arrestar,VERB,2174
1191,quedarte,SCONJ,2172
1192,harás,VERB,2165
1193,informar,VERB,2164
1194,vistazo,NOUN,2160
1195,cinta,NOUN,2158
1196,hogar,NOUN,2156
1197,dulce,ADJ,2152
1198,gato,NOUN,2152
1199,nervioso,ADJ,2151
1200,abuela,NOUN,2151
1201,finalmente,ADV,2149
1202,â¿y,ADJ,2146
1203,ex,ADJ,2145
1204,caliente,ADJ,2145
1205,tranquilo,ADJ,2144
1206,mala,ADJ,2144
1207,acto,NOUN,2141
1208,sentimiento,NOUN,2140
1209,destino,NOUN,2137
1210,red,NOUN,2137
1211,dime,PROPN,2135
1212,recuerda,ADJ,2131
1213,hambre,NOUN,2131
1214,permanecer,VERB,2129
1215,según,ADP,2124
1216,acostar,VERB,2122
1217,área,NOUN,2121
1218,enamorado,ADJ,2120
1219,18,NUM,2118
1220,contigo,NOUN,2116
1221,debido,ADJ,2115
1222,al,DET,2115
1223,sacar él,VERB,2114
1224,nada,ADV,2110
1225,respecto,NOUN,2107
1226,dã­as,NOUN,2106
1227,diente,NOUN,2105
1228,famoso,ADJ,2104
1229,aguantar,VERB,2102
1230,enfrentar,VERB,2099
1231,maestro,NOUN,2097
1232,huevo,NOUN,2097
1233,tiro,NOUN,2092
1234,menor,ADJ,2092
1235,juro,NOUN,2088
1236,árbol,NOUN,2085
1237,silla,NOUN,2085
1238,cocina,NOUN,2085
1239,botella,NOUN,2081
1240,es,NOUN,2079
1241,â¡no,NUM,2073
1242,presión,NOUN,2072
1243,estés,NOUN,2065
1244,y.,PROPN,2064
1245,vayar,VERB,2061
1246,ei,PROPN,2058
1247,cuarto,ADJ,2057
1248,estudiante,NOUN,2055
1249,sorpresa,NOUN,2053
1250,dueño,NOUN,2053
1251,pesar,NOUN,2053
1252,repente,NOUN,2051
1253,vino,NOUN,2049
1254,contrato,NOUN,2049
1255,propiedad,NOUN,2047
1256,cumpleaños,NOUN,2041
1257,necesidad,NOUN,2040
1258,pieza,NOUN,2040
1259,admitir,VERB,2038
1260,amenaza,NOUN,2038
1261,alcanzar,VERB,2034
1262,tercero,ADJ,2034
1263,agujero,NOUN,2033
1264,socio,NOUN,2031
1265,contra,NOUN,2030
1266,estés,VERB,2028
1267,estã¡s,NOUN,2027
1268,cerrado,ADJ,2027
1269,herido,ADJ,2027
1270,reloj,NOUN,2023
1271,tony,PROPN,2021
1272,policía,PROPN,2020
1273,loca,NOUN,2018
1274,oscuro,ADJ,2011
1275,general,ADJ,2007
1276,vi,VERB,2006
1277,soportar,VERB,2006
1278,elección,NOUN,2005
1279,atrapado,ADJ,2005
1280,tardar,VERB,2004
1281,oferta,NOUN,2003
1282,privado,ADJ,2002
1283,vigilar,VERB,2002
1284,monstruo,NOUN,2001
1285,intención,NOUN,2000
1286,pantalón,NOUN,1996
1287,mary,PROPN,1995
1288,sabía,NOUN,1993
1289,interés,NOUN,1992
1290,respirar,VERB,1992
1291,hueso,NOUN,1991
1292,precioso,ADJ,1981
1293,vosotro,NOUN,1977
1294,ayudar yo,VERB,1976
1295,defensa,NOUN,1976
1296,herida,NOUN,1972
1297,âª,PROPN,1970
1298,bromear,VERB,1970
1299,agarrar,VERB,1970
1300,modos,NOUN,1970
1301,excelente,ADJ,1970
1302,serie,NOUN,1967
1303,final,ADJ,1966
1304,agente,PROPN,1965
1305,nariz,NOUN,1965
1306,infierno,NOUN,1960
1307,detective,NOUN,1958
1308,poner yo,VERB,1957
1309,distir,VERB,1952
1310,mã­o,PROPN,1950
1311,nick,PROPN,1950
1312,esto.\nno,NOUN,1948
1313,notar,VERB,1948
1314,trago,NOUN,1947
1315,ocultar,VERB,1946
1316,quieras,VERB,1946
1317,héroe,NOUN,1946
1318,turno,NOUN,1945
1319,nacer,VERB,1941
1320,prensa,NOUN,1937
1321,reunir,VERB,1935
1322,bill,PROPN,1935
1323,9,NUM,1929
1324,enfermo,NOUN,1929
1325,muestra,NOUN,1926
1326,líder,NOUN,1924
1327,inocente,ADJ,1921
1328,éxito,NOUN,1921
1329,entiend,NOUN,1920
1330,apagar,VERB,1920
1331,piloto,NOUN,1916
1332,will,PROPN,1914
1333,cuántos,DET,1912
1334,entero,ADJ,1912
1335,cuchillo,NOUN,1907
1336,profundo,ADJ,1906
1337,abuelo,NOUN,1905
1338,io,PROPN,1902
1339,culpable,ADJ,1900
1340,jimmy,PROPN,1899
1341,isla,NOUN,1899
1342,espera,NOUN,1898
1343,montar,VERB,1894
1344,bola,NOUN,1893
1345,teoría,NOUN,1885
1346,brillante,ADJ,1885
1347,.y,PUNCT,1885
1348,14,NUM,1881
1349,habl,ADJ,1880
1350,amigo,ADJ,1877
1351,confirmar,VERB,1877
1352,afectar,VERB,1877
1353,velocidad,NOUN,1874
1354,batalla,NOUN,1873
1355,engañar,VERB,1872
1356,perra,NOUN,1870
1357,carajo,ADJ,1867
1358,vestido,ADJ,1864
1359,público,ADJ,1863
1360,that,PROPN,1862
1361,luna,NOUN,1861
1362,sexual,ADJ,1860
1363,cuello,NOUN,1858
1364,carga,NOUN,1858
1365,deberías,PROPN,1854
1366,iba,NOUN,1854
1367,fumar,VERB,1852
1368,bob,PROPN,1851
1369,poderoso,ADJ,1849
1370,universidad,NOUN,1847
1371,derecho,ADJ,1847
1372,dejar yo,VERB,1845
1373,unir,VERB,1844
1374,eh,INTJ,1844
1375,cabello,NOUN,1844
1376,gobierno,PROPN,1841
1377,obligar,VERB,1840
1378,mercado,NOUN,1839
1379,200,NUM,1839
1380,trampa,NOUN,1838
1381,inventar,VERB,1837
1382,vestido,NOUN,1832
1383,directamente,ADV,1830
1384,verdad,PROPN,1824
1385,loco,PROPN,1824
1386,robo,NOUN,1824
1387,cuánto,DET,1821
1388,deseo,NOUN,1815
1389,despedir,VERB,1815
1390,mejorar,VERB,1815
1391,retirar,VERB,1814
1392,perseguir,VERB,1813
1393,11,NUM,1810
1394,demasiado,DET,1808
1395,magia,NOUN,1805
1396,sujeto,NOUN,1803
1397,acordar,VERB,1802
1398,apuesto,ADJ,1801
1399,grave,ADJ,1797
1400,acusar,VERB,1797
1401,video,NOUN,1796
1402,arte,NOUN,1796
1403,16,NUM,1795
1404,enojado,ADJ,1793
1405,apoyo,NOUN,1790
1406,bebã,PROPN,1790
1407,pedazo,NOUN,1789
1408,contestar,VERB,1787
1409,uh,INTJ,1786
1410,jim,PROPN,1786
1411,superar,VERB,1785
1412,flor,NOUN,1784
1413,cadáver,NOUN,1783
1414,durar,VERB,1783
1415,negro,NOUN,1781
1416,fingir,VERB,1778
1417,colgar,VERB,1778
1418,puente,NOUN,1778
1419,habilidad,NOUN,1777
1420,escucha,NOUN,1776
1421,mantener él,VERB,1775
1422,condición,NOUN,1775
1423,mã,PROPN,1774
1424,señoritar,VERB,1774
1425,debo,PROPN,1773
1426,cien,NUM,1770
1427,apuntar,VERB,1769
1428,examen,NOUN,1767
1429,verde,ADJ,1766
1430,beso,NOUN,1765
1431,sucio,ADJ,1762
1432,comar,VERB,1762
1433,unidos,PROPN,1762
1434,seguro,NOUN,1759
1435,blanco,NOUN,1756
1436,departamento,PROPN,1754
1437,fe,NOUN,1753
1438,confianza,NOUN,1753
1439,cargar,VERB,1751
1440,conexión,NOUN,1751
1441,identificar,VERB,1751
1442,estã¡n,AUX,1750
1443,respetar,VERB,1750
1444,guapo,ADJ,1748
1445,indicar,VERB,1745
1446,interesado,ADJ,1743
1447,rastro,NOUN,1741
1448,apoyar,VERB,1741
1449,liberar,VERB,1739
1450,emergencia,NOUN,1738
1451,sepa,PROPN,1738
1452,izquierda,NOUN,1737
1453,evidencia,NOUN,1734
1454,descansar,VERB,1733
1455,demonio,ADJ,1732
1456,computadora,NOUN,1732
1457,vuelva,ADJ,1731
1458,aã±os,PROPN,1730
1459,henry,PROPN,1729
1460,marchar,VERB,1727
1461,cabo,NOUN,1726
1462,divertir,VERB,1725
1463,celebrar,VERB,1724
1464,modelo,NOUN,1723
1465,uso,NOUN,1720
1466,marcha,NOUN,1719
1467,ahã­,VERB,1719
1468,disparo,NOUN,1717
1469,derecha,NOUN,1717
1470,avisar,VERB,1716
1471,motor,NOUN,1713
1472,llama,NOUN,1711
1473,llamar él,VERB,1709
1474,no.\nno,PROPN,1706
1475,grado,NOUN,1703
1476,autoridad,NOUN,1702
1477,ruido,NOUN,1698
1478,loco,NOUN,1696
1479,parque,NOUN,1691
1480,jodido,ADJ,1690
1481,general,NOUN,1690
1482,bote,NOUN,1687
1483,partir,NOUN,1686
1484,santa,PROPN,1683
1485,pasado,NOUN,1683
1486,disco,NOUN,1683
1487,prestar,VERB,1682
1488,calor,NOUN,1680
1489,personaje,NOUN,1679
1490,amor,PROPN,1678
1491,jefe,PROPN,1676
1492,adn,PROPN,1675
1493,contento,ADJ,1674
1494,probable,ADJ,1674
1495,copia,NOUN,1673
1496,llenar,VERB,1671
1497,disculpe,PROPN,1669
1498,estã¡s,AUX,1667
1499,general,PROPN,1667
1500,azul,ADJ,1665
1501,escoger,VERB,1664
1502,peso,NOUN,1664
1503,mando,NOUN,1663
1504,eso.\nno,PROPN,1659
1505,dile,ADJ,1659
1506,mar,NOUN,1658
1507,aqui,NOUN,1654
1508,iglesia,NOUN,1653
1509,veo,NOUN,1652
1510,artículo,NOUN,1652
1511,pez,NOUN,1649
1512,estás,VERB,1647
1513,temprano,ADV,1646
1514,max,PROPN,1646
1515,new,PROPN,1643
1516,haz,NOUN,1641
1517,sonido,NOUN,1640
1518,imbécil,ADJ,1640
1519,plato,NOUN,1640
1520,pelota,NOUN,1636
1521,correo,NOUN,1634
1522,ven,VERB,1634
1523,17,NUM,1633
1524,planta,NOUN,1631
1525,tarea,NOUN,1631
1526,matar él,VERB,1628
1527,puro,ADJ,1626
1528,odio,NOUN,1626
1529,declarar,VERB,1626
1530,maldita,PROPN,1624
1531,pastel,NOUN,1623
1532,aspecto,NOUN,1623
1533,doctor,PROPN,1620
1534,enseguida,ADV,1619
1535,piedra,NOUN,1618
1536,entrevista,NOUN,1618
1537,eros,PRON,1618
1538,memoria,NOUN,1617
1539,colega,NOUN,1616
1540,gastar,VERB,1614
1541,lee,PROPN,1613
1542,responsabilidad,NOUN,1611
1543,pronto,NOUN,1605
1544,llevar yo,VERB,1605
1545,responsable,ADJ,1604
1546,cuánto,NUM,1600
1547,equivocar,VERB,1600
1548,página,NOUN,1599
1549,mudar,VERB,1599
1550,copa,NOUN,1598
1551,hiciste,VERB,1596
1552,tonto,ADJ,1595
1553,pérdida,NOUN,1595
1554,ãºnico,PROPN,1594
1555,gas,NOUN,1592
1556,no?\nno,VERB,1591
1557,asustado,ADJ,1590
1558,padre,PROPN,1590
1559,telã,PROPN,1588
1560,corto,ADJ,1588
1561,ve,PROPN,1587
1562,lamento,NOUN,1582
1563,reina,NOUN,1582
1564,noches,NOUN,1578
1565,provocar,VERB,1576
1566,propósito,NOUN,1576
1567,documento,NOUN,1576
1568,kilómetro,NOUN,1575
1569,eliminar,VERB,1573
1570,hielo,NOUN,1572
1571,preguntar él,VERB,1570
1572,â¿no,NOUN,1568
1573,richard,PROPN,1568
1574,paquete,NOUN,1566
1575,verano,NOUN,1565
1576,do,ADP,1565
1577,requerir,VERB,1564
1578,pan,NOUN,1563
1579,jugador,NOUN,1563
1580,aquí.\nno,NOUN,1562
1581,objeto,NOUN,1561
1582,mapa,NOUN,1561
1583,00,NUM,1561
1584,mamã,NOUN,1559
1585,solamente,ADV,1559
1586,ti.\nno,NOUN,1556
1587,señora,PROPN,1556
1588,comprobar,VERB,1554
1589,gordo,ADJ,1553
1590,quédatir,VERB,1551
1591,veré,VERB,1550
1592,besar,VERB,1549
1593,feo,ADJ,1548
1594,leche,NOUN,1545
1595,algãºn,PROPN,1544
1596,realizar,VERB,1544
1597,escalera,NOUN,1544
1598,cobrar,VERB,1543
1599,siglo,NOUN,1543
1600,disculpa,NOUN,1541
1601,ladrón,NOUN,1541
1602,robert,PROPN,1538
1603,trasero,ADJ,1536
1604,tuvistar,VERB,1535
1605,it,PROPN,1535
1606,proceso,NOUN,1534
1607,venta,NOUN,1532
1608,convencer,VERB,1532
1609,naturaleza,NOUN,1532
1610,tercer,ADJ,1531
1611,for,PROPN,1531
1612,lucir,VERB,1531
1613,13,NUM,1528
1614,ray,PROPN,1528
1615,vuestro,NOUN,1526
1616,militar,ADJ,1525
1617,vacación,NOUN,1524
1618,tía,NOUN,1523
1619,adentro,ADV,1523
1620,alex,PROPN,1522
1621,jane,PROPN,1521
1622,definitivamente,ADV,1520
1623,camisa,NOUN,1518
1624,local,ADJ,1516
1625,calma,NOUN,1513
1626,truco,NOUN,1513
1627,clave,NOUN,1512
1628,veras,NOUN,1511
1629,autobús,NOUN,1510
1630,washington,PROPN,1507
1631,lastimar,VERB,1506
1632,vas,AUX,1501
1633,explotar,VERB,1501
1634,querer,AUX,1500
1635,londres,PROPN,1500
1636,familiar,ADJ,1497
1637,tener él,VERB,1497
1638,medicina,NOUN,1497
1639,fallar,VERB,1495
1640,todos,NOUN,1495
1641,declaración,NOUN,1494
1642,dios,NOUN,1493
1643,cadena,NOUN,1493
1644,conocí,VERB,1492
1645,defender,VERB,1491
1646,representar,VERB,1490
1647,norte,NOUN,1489
1648,perdón,PROPN,1487
1649,secreto,ADJ,1486
1650,danny,PROPN,1486
1651,adivinar,VERB,1484
1652,sombrero,NOUN,1484
1653,rastrear,VERB,1484
1654,decirte,VERB,1483
1655,producto,NOUN,1481
1656,periódico,NOUN,1480
1657,lavar,VERB,1478
1658,gusta,NOUN,1477
1659,your,PROPN,1476
1660,cariño,PROPN,1474
1661,talento,NOUN,1474
1662,60,NUM,1473
1663,pollo,NOUN,1472
1664,lucha,NOUN,1472
1665,distinto,ADJ,1471
1666,discurso,NOUN,1470
1667,federal,ADJ,1469
1668,absolutamente,ADV,1468
1669,deber,NOUN,1467
1670,río,NOUN,1467
1671,partir,VERB,1462
1672,voy,NOUN,1460
1673,común,ADJ,1460
1674,déjame,PROPN,1459
1675,mamá,ADJ,1458
1676,virus,NOUN,1458
1677,evento,NOUN,1457
1678,encender,VERB,1457
1679,van,PROPN,1455
1680,compra,NOUN,1454
1681,organizar,VERB,1454
1682,pedir él,VERB,1454
1683,arriesgar,VERB,1454
1684,asumir,VERB,1452
1685,mierda,PROPN,1452
1686,separ,VERB,1451
1687,firma,NOUN,1451
1688,sã³lo,NOUN,1451
1689,cazar,VERB,1449
1690,papã,NOUN,1449
1691,mire,PROPN,1449
1692,grabar,VERB,1449
1693,vayas,VERB,1448
1694,humano,NOUN,1448
1695,sã,AUX,1447
1696,revista,NOUN,1446
1697,don,PROPN,1446
1698,apostar,VERB,1445
1699,tommy,PROPN,1443
1700,favorito,ADJ,1443
1701,ciencia,NOUN,1442
1702,diario,NOUN,1441
1703,época,NOUN,1440
1704,tecnología,NOUN,1439
1705,renunciar,VERB,1434
1706,playa,NOUN,1434
1707,actividad,NOUN,1432
1708,camioneta,NOUN,1432
1709,primo,NOUN,1432
1710,voto,NOUN,1431
1711,era,NOUN,1429
1712,mirada,NOUN,1429
1713,johnny,PROPN,1428
1714,amenazar,VERB,1428
1715,â¿mir,VERB,1426
1716,distancia,NOUN,1425
1717,observar,VERB,1425
1718,sur,NOUN,1424
1719,mismo,ADV,1423
1720,pensã,PROPN,1422
1721,lord,PROPN,1422
1722,cheque,NOUN,1421
1723,fantasma,NOUN,1421
1724,material,NOUN,1421
1725,montaña,NOUN,1420
1726,salvo,ADP,1419
1727,pecho,NOUN,1419
1728,aumentar,VERB,1419
1729,actor,NOUN,1419
1730,perro,PROPN,1419
1731,sra.,ADJ,1418
1732,siento.\nno,VERB,1417
1733,arrancar,VERB,1417
1734,vaso,NOUN,1417
1735,oído,ADJ,1416
1736,bobby,PROPN,1413
1737,perfectamente,ADV,1410
1738,desastre,NOUN,1406
1739,billy,PROPN,1406
1740,producir,VERB,1405
1741,cuento,NOUN,1403
1742,coronel,PROPN,1403
1743,esquina,NOUN,1403
1744,fecha,NOUN,1402
1745,â¿estã¡s,VERB,1401
1746,hombre,PROPN,1400
1747,criatura,NOUN,1399
1748,steve,PROPN,1398
1749,culpar,VERB,1397
1750,americano,ADJ,1397
1751,invitado,NOUN,1395
1752,vecino,NOUN,1394
1753,personal,NOUN,1394
1754,lamentar,VERB,1391
1755,algo?\nno,VERB,1390
1756,embarazado,ADJ,1390
1757,bruja,NOUN,1390
1758,sarah,PROPN,1389
1759,especialmente,ADV,1388
1760,llamir,VERB,1387
1761,despuã,ADV,1386
1762,espada,NOUN,1385
1763,verdad?\nno,AUX,1384
1764,damar,VERB,1382
1765,prisionero,NOUN,1382
1766,show,NOUN,1382
1767,violar,VERB,1381
1768,genio,NOUN,1381
1769,días,PROPN,1381
1770,carretera,NOUN,1380
1771,afuerar,VERB,1379
1772,metar,VERB,1378
1773,dedicar,VERB,1377
1774,tamaño,NOUN,1376
1775,búsqueda,NOUN,1375
1776,bebida,NOUN,1373
1777,secuestrar,VERB,1370
1778,enfadado,ADJ,1369
1779,comandante,NOUN,1369
1780,oí,VERB,1368
1781,viernes,NOUN,1367
1782,mientras,CCONJ,1364
1783,tomé,VERB,1362
1784,tormenta,NOUN,1361
1785,versión,NOUN,1359
1786,acá,PROPN,1358
1787,cercano,ADJ,1358
1788,silencio,NOUN,1356
1789,público,NOUN,1354
1790,asistente,NOUN,1353
1791,aqui,VERB,1353
1792,sospechoso,ADJ,1353
1793,â¿quã,NOUN,1352
1794,taza,NOUN,1351
1795,conocer él,VERB,1351
1796,miren,PROPN,1351
1797,matar yo,VERB,1351
1798,su,PRON,1350
1799,cancelar,VERB,1350
1800,vida,PROPN,1349
1801,total,ADJ,1347
1802,atravesar,VERB,1347
1803,puesto,ADJ,1345
1804,comprender,VERB,1345
1805,enfermera,NOUN,1345
1806,justicia,NOUN,1343
1807,perdonar,VERB,1343
1808,verdad?\nsí,PROPN,1343
1809,empleo,NOUN,1341
1810,débil,ADJ,1341
1811,herir,VERB,1340
1812,valiente,ADJ,1339
1813,nena,PROPN,1339
1814,soltar,VERB,1339
1815,pongar,VERB,1339
1816,colegio,NOUN,1338
1817,quiã,PROPN,1337
1818,usar él,VERB,1337
1819,sargento,NOUN,1337
1820,curso,NOUN,1336
1821,pintar,VERB,1335
1822,bosque,NOUN,1335
1823,tratamiento,NOUN,1335
1824,impedir,VERB,1334
1825,legal,ADJ,1334
1826,llamo,PROPN,1334
1827,lengua,NOUN,1332
1828,viento,NOUN,1331
1829,serã­ar,VERB,1330
1830,cuyo,PRON,1329
1831,esfuerzo,NOUN,1329
1832,cocinar,VERB,1329
1833,granja,NOUN,1327
1834,contactar,VERB,1327
1835,obviamente,ADJ,1326
1836,podrã­ar,VERB,1322
1837,venido,ADJ,1321
1838,feliz,PROPN,1319
1839,jurar,VERB,1317
1840,â¿no,VERB,1316
1841,visión,NOUN,1315
1842,medida,NOUN,1315
1843,empleado,NOUN,1313
1844,complicado,ADJ,1311
1845,vehículo,NOUN,1309
1846,carro,NOUN,1309
1847,500,NUM,1309
1848,premio,NOUN,1309
1849,paseo,NOUN,1308
1850,â¿de,NOUN,1307
1851,hubierar,VERB,1307
1852,canal,NOUN,1307
1853,salud,NOUN,1306
1854,haber,VERB,1305
1855,toma,PROPN,1304
1856,homicidio,NOUN,1303
1857,techo,NOUN,1302
1858,dra.,NOUN,1302
1859,aburrido,ADJ,1301
1860,dã³nde,NOUN,1301
1861,pintura,NOUN,1300
1862,cine,NOUN,1300
1863,docena,NOUN,1300
1864,atender,VERB,1298
1865,pensamiento,NOUN,1298
1866,charles,PROPN,1298
1867,cómodo,ADJ,1296
1868,artista,NOUN,1296
1869,universidad,PROPN,1294
1870,conocimiento,NOUN,1290
1871,podrás,AUX,1288
1872,superior,ADJ,1287
1873,humor,NOUN,1285
1874,cirugía,NOUN,1285
1875,natural,ADJ,1283
1876,eso?\nno,ADV,1282
1877,dale,PROPN,1281
1878,reducir,VERB,1281
1879,marcar,VERB,1280
1880,buscar él,VERB,1278
1881,encuentro,NOUN,1278
1882,licencia,NOUN,1277
1883,sepa,NOUN,1276
1884,deuda,NOUN,1275
1885,ve,INTJ,1274
1886,bien.\npero,NOUN,1274
1887,rata,NOUN,1273
1888,jake,PROPN,1272
1889,cia,PROPN,1271
1890,practicar,VERB,1270
1891,lidiar,VERB,1269
1892,mir,NOUN,1269
1893,gay,PROPN,1267
1894,rumor,NOUN,1267
1895,guerra,PROPN,1266
1896,prisa,NOUN,1265
1897,colocar,VERB,1265
1898,taxi,NOUN,1262
1899,date,NOUN,1261
1900,sincero,ADJ,1260
1901,asegurar yo,VERB,1259
1902,recién,ADV,1259
1903,extrañar,VERB,1259
1904,fiscal,NOUN,1256
1905,fantástico,ADJ,1255
1906,hazlo,VERB,1255
1907,aeropuerto,NOUN,1255
1908,ryan,PROPN,1254
1909,meter él,VERB,1253
1910,descanso,NOUN,1253
1911,traigar,VERB,1252
1912,what,PROPN,1252
1913,irno,NOUN,1251
1914,televisión,NOUN,1251
1915,vámono,NOUN,1248
1916,cable,NOUN,1246
1917,disculpar,VERB,1245
1918,armado,ADJ,1245
1919,análisis,NOUN,1245
1920,alimentar,VERB,1243
1921,niã±o,PROPN,1243
1922,ruso,ADJ,1242
1923,jerry,PROPN,1240
1924,alejar,VERB,1240
1925,sospechoso,NOUN,1239
1926,was,PROPN,1239
1927,alcohol,NOUN,1238
1928,estabas,VERB,1238
1929,claramente,ADV,1238
1930,atraer,VERB,1238
1931,ilegal,ADJ,1237
1932,mono,NOUN,1237
1933,my,PROPN,1235
1934,barrio,NOUN,1235
1935,acompañar,VERB,1234
1936,sociedad,NOUN,1233
1937,mark,PROPN,1233
1938,estã¡n ,VERB,1232
1939,seguramente,ADV,1232
1940,involucrado,ADJ,1231
1941,repetir,VERB,1230
1942,adorar,VERB,1229
1943,contener,VERB,1228
1944,qué?\nporque,SCONJ,1228
1945,cáncer,NOUN,1228
1946,puedes,PROPN,1227
1947,roto,ADJ,1227
1948,acceder,VERB,1227
1949,emoción,NOUN,1226
1950,entrenar,VERB,1226
1951,â¿te,PROPN,1224
1952,almuerzo,NOUN,1222
1953,incendio,NOUN,1221
1954,bolsillo,NOUN,1221
1955,anuncio,NOUN,1218
1956,fila,NOUN,1218
1957,belleza,NOUN,1217
1958,separar,VERB,1214
1959,pata,NOUN,1213
1960,oso,NOUN,1213
1961,chris,PROPN,1212
1962,busca,NOUN,1212
1963,ruta,NOUN,1212
1964,fono,ADJ,1210
1965,allã­,ADV,1210
1966,queso,NOUN,1209
1967,encantado,ADJ,1209
1968,establecer,VERB,1207
1969,frío,NOUN,1207
1970,ventaja,NOUN,1207
1971,eddie,PROPN,1207
1972,izquierdo,ADJ,1206
1973,pago,NOUN,1206
1974,ridículo,ADJ,1205
1975,rostro,NOUN,1205
1976,dile,PROPN,1205
1977,dime,NOUN,1204
1978,obvio,ADJ,1202
1979,dan,PROPN,1202
1980,campamento,NOUN,1202
1981,maldito,PROPN,1201
1982,registrar,VERB,1201
1983,costa,NOUN,1201
1984,billete,NOUN,1200
1985,apuesta,NOUN,1200
1986,identidad,NOUN,1199
1987,lección,NOUN,1199
1988,andy,PROPN,1198
1989,hasta,ADV,1198
1990,política,NOUN,1197
1991,metido,ADJ,1197
1992,asã­,ADJ,1197
1993,espíritu,NOUN,1197
1994,asi,ADV,1197
1995,walter,PROPN,1195
1996,rueda,NOUN,1193
1997,ud.,PROPN,1192
1998,comienzo,NOUN,1192
1999,molesto,ADJ,1191
2000,altura,NOUN,1190
2001,$,PRON,1190
2002,hablar él,VERB,1189
2003,300,NUM,1189
2004,inteligencia,NOUN,1188
2005,criar,VERB,1188
