Features,English,Swedish,Spanish,Korean
POS (JSD),0.18/0.19/0.19,0.31/0.21/0.25,0.25/0.26/0.26,0.23/0.21/0.21
Dep. (JSD),0.25/0.24/0.27,0.35/0.3/0.32,0.23/0.25/0.25,0.3/0.26/0.2
Discourse (JSD),0.34/0.25/0.25,1.0/0.81/1.0,0.65/1.0/0.83,1.0/0.81/0.81
Sent. Len. (W.stein),0.76/0.77/0.78,0.82/0.82/0.81,0.8/0.79/0.8,0.81/0.82/0.82
N-Gram (JSD),8.53/13.24/9.41,16.33/6.0/8.39,9.13/7.21/7.97,3.27/3.64/3.29
Tree Depth (W.stein),1.85/2.61/1.96,0.72/0.62/1.34,1.03/0.35/0.44,1.74/1.4/0.9
MMD,0.21/0.22/0.21,0.21/0.23/0.21,0.21/0.21/0.21,0.21/0.22/0.25
