Model,LTEmean,LTEstd,LTEratio
Beam Qwen,0.23/0.13/0.06,0.17/0.11/0.08,0.2/0.2/0.6
Beam/LLMaaJ Qwen,0.23/0.13/0.06,0.17/0.11/0.08,0.2/0.2/0.6
vLLM Prompted,0.39/0.12/0.05,0.2/0.11/0.09,0.11/0.26/0.52
vLLM No Const,0.61/0.33/0.24,0.15/0.25/0.29,0.0/0.02/0.14
GPT Prompted,0.16/0.1/0.09,0.13/0.12/0.11,0.22/0.34/0.31
GPT No Const,0.59/0.26/0.15,0.06/0.06/0.07,0.0/0.0/0.0
